time,accX,accY,accZ,gyroX,gyroY,gyroZ,magx,magy,magz
2.42,-0.791,-0.534,-0.155,-0.427,-2.075,-3.296,0,0,0
2.43,-0.779,-0.525,-0.15,-0.793,-0.854,-2.441,0,0,0
2.44,-0.773,-0.523,-0.145,-0.916,-0.061,-0.977,0,0,0
2.45,-0.766,-0.528,-0.14,-1.038,-0.671,0.244,0,0,0
2.46,-0.757,-0.529,-0.136,-0.427,-0.854,1.404,0,0,0
2.47,-0.758,-0.535,-0.131,-0.366,-1.77,3.052,0,0,0
2.48,-0.774,-0.552,-0.135,-0.977,-2.441,4.639,0,0,0
2.49,-0.77,-0.557,-0.138,-1.526,-1.648,5.615,0,0,0
2.5,-0.758,-0.552,-0.133,-1.892,-1.221,6.226,0,0,0
2.51,-0.737,-0.542,-0.132,-2.686,-1.709,6.958,0,0,0
2.52,-0.731,-0.54,-0.134,-3.052,-2.625,7.141,0,0,0
2.53,-0.74,-0.544,-0.137,-2.686,-3.54,7.202,0,0,0
2.54,-0.734,-0.541,-0.135,-1.831,-3.418,7.874,0,0,0
2.55,-0.741,-0.553,-0.136,-0.793,-4.639,7.629,0,0,0
2.56,-0.76,-0.562,-0.143,0,-4.944,7.385,0,0,0
2.57,-0.759,-0.567,-0.141,0.488,-3.906,7.141,0,0,0
2.58,-0.747,-0.568,-0.135,1.16,-3.662,6.409,0,0,0
2.59,-0.74,-0.564,-0.134,1.648,-3.845,5.981,0,0,0
2.6,-0.76,-0.574,-0.142,2.258,-4.517,5.066,0,0,0
2.61,-0.768,-0.579,-0.14,2.991,-3.052,4.333,0,0,0
2.62,-0.783,-0.587,-0.145,4.089,-3.113,3.967,0,0,0
2.63,-0.785,-0.591,-0.145,4.15,-2.869,3.235,0,0,0
2.64,-0.803,-0.6,-0.143,5.005,-2.625,2.625,0,0,0
2.65,-0.814,-0.611,-0.139,6.287,-1.343,1.892,0,0,0
2.66,-0.815,-0.616,-0.133,5.981,0.366,0.977,0,0,0
2.67,-0.817,-0.619,-0.13,5.432,0.305,0.671,0,0,0
2.68,-0.84,-0.634,-0.129,4.517,-0.061,2.197,0,0,0
2.69,-0.844,-0.642,-0.123,3.784,1.282,3.662,0,0,0
2.7,-0.863,-0.661,-0.121,3.296,1.038,6.226,0,0,0
2.71,-0.908,-0.69,-0.13,1.892,0.366,8.728,0,0,0
2.72,-0.874,-0.682,-0.121,0.061,2.319,10.559,0,0,0
2.73,-0.858,-0.681,-0.116,-0.671,0.122,13,0,0,0
2.74,-0.882,-0.686,-0.122,-2.38,-1.221,14.282,0,0,0
2.75,-0.896,-0.691,-0.126,-2.686,-2.136,14.465,0,0,0
2.76,-0.9,-0.68,-0.129,-2.563,-1.77,13.672,0,0,0
2.77,-0.929,-0.701,-0.135,-0.977,-3.723,13.367,0,0,0
2.78,-1.042,-0.77,-0.156,-0.549,-4.211,12.573,0,0,0
2.79,-1.049,-0.764,-0.176,-1.343,1.404,11.108,0,0,0
2.8,-0.873,-0.67,-0.118,-1.953,5.798,13.794,0,0,0
2.81,-0.821,-0.621,-0.102,-2.075,3.052,19.287,0,0,0
2.82,-0.666,-0.515,-0.069,-3.357,2.808,24.841,0,0,0
2.83,-0.736,-0.559,-0.081,1.953,-7.629,31.738,0,0,0
2.84,-0.886,-0.632,-0.119,3.235,-12.817,31.982,0,0,0
2.85,-0.965,-0.644,-0.147,3.723,-10.559,26.001,0,0,0
2.86,-0.954,-0.614,-0.142,10.01,-8.606,18.188,0,0,0
2.87,-0.888,-0.569,-0.13,13.672,-6.47,9.277,0,0,0
2.88,-0.855,-0.513,-0.123,12.268,-7.812,3.54,0,0,0
2.89,-0.882,-0.498,-0.122,12.329,-7.019,0.61,0,0,0
2.9,-0.862,-0.466,-0.104,12.146,-0.61,-1.587,0,0,0
2.91,-0.786,-0.401,-0.077,9.46,1.709,-1.892,0,0,0
2.92,-0.739,-0.345,-0.056,9.094,-1.038,-0.488,0,0,0
2.93,-0.76,-0.353,-0.07,11.963,-1.343,1.038,0,0,0
2.94,-0.802,-0.393,-0.076,15.076,0.916,2.625,0,0,0
2.95,-0.825,-0.427,-0.089,15.503,0.916,4.7,0,0,0
2.96,-0.828,-0.451,-0.087,15.381,3.662,5.859,0,0,0
2.97,-0.875,-0.495,-0.103,15.503,3.662,5.92,0,0,0
2.98,-0.847,-0.499,-0.086,13.123,8.362,4.822,0,0,0
2.99,-0.807,-0.479,-0.066,11.414,9.521,3.174,0,0,0
3,-0.795,-0.479,-0.058,10.376,9.033,0.61,0,0,0
3.01,-0.783,-0.469,-0.052,9.644,9.277,-1.282,0,0,0
3.02,-0.75,-0.447,-0.044,8.728,9.766,-4.883,0,0,0
3.03,-0.75,-0.444,-0.044,9.277,7.69,-7.446,0,0,0
3.04,-0.743,-0.429,-0.046,8.728,8.179,-8.484,0,0,0
3.05,-0.721,-0.427,-0.047,10.01,7.263,-8.423,0,0,0
3.06,-0.708,-0.428,-0.044,9.46,5.92,-7.08,0,0,0
3.07,-0.717,-0.423,-0.046,7.874,3.174,-4.944,0,0,0
3.08,-0.696,-0.411,-0.048,9.033,3.418,-2.686,0,0,0
3.09,-0.682,-0.415,-0.047,9.949,2.808,-1.465,0,0,0
3.1,-0.672,-0.424,-0.054,8.728,-0.061,0.916,0,0,0
3.11,-0.687,-0.431,-0.058,6.897,-3.418,2.625,0,0,0
3.12,-0.687,-0.43,-0.059,7.935,-3.723,2.686,0,0,0
3.13,-0.707,-0.451,-0.067,9.644,-5.249,2.502,0,0,0
3.14,-0.702,-0.447,-0.07,8.789,-5.981,1.709,0,0,0
3.15,-0.697,-0.435,-0.078,9.216,-7.812,1.465,0,0,0
3.16,-0.736,-0.462,-0.091,11.047,-7.874,1.465,0,0,0
3.17,-0.728,-0.475,-0.092,11.169,-5.188,2.258,0,0,0
3.18,-0.742,-0.489,-0.09,10.803,-5.859,3.601,0,0,0
3.19,-0.762,-0.511,-0.095,10.193,-4.883,5.31,0,0,0
